iter	Passed	Remaining
738	20671	1874
739	20696	1845
740	20720	1817
741	20745	1789
742	20770	1761
743	20798	1733
744	20830	1705
745	20859	1677
746	20887	1649
747	20915	1621
748	20942	1593
749	20967	1565
750	20994	1537
751	21020	1509
752	21045	1481
753	21072	1453
754	21097	1425
755	21121	1396
756	21147	1368
757	21170	1340
758	21196	1312
759	21221	1284
760	21246	1256
761	21271	1228
762	21297	1200
763	21327	1172
764	21352	1144
765	21378	1116
766	21399	1088
767	21424	1060
768	21448	1031
769	21473	1003
770	21497	975
771	21522	947
772	21546	919
773	21570	891
774	21597	863
775	21624	835
776	21650	808
777	21675	780
778	21702	752
779	21727	724
780	21753	696
781	21781	668
782	21810	640
783	21837	612
784	21863	584
785	21888	556
786	21911	528
787	21933	501
788	21958	473
789	21979	445
790	22004	417
791	22031	389
792	22058	361
793	22084	333
794	22115	305
795	22144	278
796	22169	250
797	22194	222
798	22217	194
799	22244	166
800	22275	139
801	22299	111
802	22326	83
803	22354	55
804	22382	27
805	22416	0
